19 окт. 2025 14:50:16,332 admin - dilpkn - 172.20.10.3  INFO RemoteLogger - executeEventAction started: [ID: 895, SID: _NEW_Main_stocks_s()]
19 окт. 2025 14:50:16,425 admin - dilpkn - 172.20.10.3  INFO RemoteLogger - executeEventAction ended: [ID: 895, SID: _NEW_Main_stocks_s()]
19 окт. 2025 14:50:17,883 admin - dilpkn - 172.20.10.3  INFO RemoteLogger - getAsyncValues started: Thread[RMI:Main.stocks, TID - (83),5,RMI Runtime], indices : (-1,0,1), value : 
19 окт. 2025 14:50:17,912 admin - dilpkn - 172.20.10.3  INFO RemoteLogger - getAsyncValues ended: Thread[RMI:Main.stocks, TID - (83),5,RMI Runtime], indices : (-1,0,1)
19 окт. 2025 14:50:23,224 admin - dilpkn - 172.20.10.3  INFO RemoteLogger - executeEventAction started: [ID: 864, SID: name(s)]
19 окт. 2025 14:50:23,234 admin - dilpkn - 172.20.10.3  INFO RemoteLogger - executeEventAction ended: [ID: 864, SID: name(s)]
19 окт. 2025 14:50:24,218 admin - dilpkn - 172.20.10.3  INFO RemoteLogger - getAsyncValues started: Thread[RMI:Main.stocks, TID - (83),5,RMI Runtime], indices : (-1,0,2), value : а
19 окт. 2025 14:50:24,236 admin - dilpkn - 172.20.10.3  INFO RemoteLogger - getAsyncValues ended: Thread[RMI:Main.stocks, TID - (83),5,RMI Runtime], indices : (-1,0,2)
19 окт. 2025 14:50:29,876 admin - dilpkn - 172.20.10.3  INFO RemoteLogger - executeEventAction started: [ID: 868, SID: adress(s)]
19 окт. 2025 14:50:29,880 admin - dilpkn - 172.20.10.3  INFO RemoteLogger - executeEventAction ended: [ID: 868, SID: adress(s)]
19 окт. 2025 14:50:31,289 admin - dilpkn - 172.20.10.3  INFO RemoteLogger - getAsyncValues started: Thread[RMI:Main.stocks, TID - (83),5,RMI Runtime], indices : (-1,0,3), value : 
19 окт. 2025 14:50:31,296 admin - dilpkn - 172.20.10.3  INFO RemoteLogger - getAsyncValues ended: Thread[RMI:Main.stocks, TID - (83),5,RMI Runtime], indices : (-1,0,3)
19 окт. 2025 14:50:35,730 admin - dilpkn - 172.20.10.3  INFO RemoteLogger - executeEventAction started: [ID: 868, SID: adress(s)]
19 окт. 2025 14:50:35,732 admin - dilpkn - 172.20.10.3  INFO RemoteLogger - executeEventAction ended: [ID: 868, SID: adress(s)]
19 окт. 2025 14:50:55,470 admin - dilpkn - 172.20.10.3  INFO RemoteLogger - executeEventAction started: [ID: 895, SID: _NEW_Main_stocks_s()]
19 окт. 2025 14:50:55,481 admin - dilpkn - 172.20.10.3  INFO RemoteLogger - executeEventAction ended: [ID: 895, SID: _NEW_Main_stocks_s()]
19 окт. 2025 14:50:56,573 admin - dilpkn - 172.20.10.3  INFO RemoteLogger - getAsyncValues started: Thread[RMI:Main.stocks, TID - (83),5,RMI Runtime], indices : (-1,0,4), value : 
19 окт. 2025 14:50:56,573 admin - dilpkn - 172.20.10.3  INFO RemoteLogger - getAsyncValues ended: Thread[RMI:Main.stocks, TID - (83),5,RMI Runtime], indices : (-1,0,4)
19 окт. 2025 14:50:58,810 admin - dilpkn - 172.20.10.3  INFO RemoteLogger - executeEventAction started: [ID: 864, SID: name(s)]
19 окт. 2025 14:50:58,820 admin - dilpkn - 172.20.10.3  INFO RemoteLogger - executeEventAction ended: [ID: 864, SID: name(s)]
19 окт. 2025 14:51:00,034 admin - dilpkn - 172.20.10.3  INFO RemoteLogger - getAsyncValues started: Thread[RMI:Main.stocks, TID - (83),5,RMI Runtime], indices : (-1,0,5), value : 
19 окт. 2025 14:51:00,034 admin - dilpkn - 172.20.10.3  INFO RemoteLogger - getAsyncValues ended: Thread[RMI:Main.stocks, TID - (83),5,RMI Runtime], indices : (-1,0,5)
19 окт. 2025 14:51:03,571 admin - dilpkn - 172.20.10.3  INFO RemoteLogger - executeEventAction started: [ID: 868, SID: adress(s)]
19 окт. 2025 14:51:03,582 admin - dilpkn - 172.20.10.3  INFO RemoteLogger - executeEventAction ended: [ID: 868, SID: adress(s)]
19 окт. 2025 14:51:37,790 admin - dilpkn - 172.20.10.3  INFO RemoteLogger - executeEventAction started: [ID: 844, SID: formApply()]
19 окт. 2025 14:51:37,954 admin - dilpkn - 172.20.10.3  INFO RemoteLogger - executeEventAction ended: [ID: 844, SID: formApply()]
19 окт. 2025 14:51:39,590 admin - dilpkn - 172.20.10.3  INFO RemoteLogger - FORM OPEN : FORM[1543108630 - Main.items,RN[clientAddress: 172.20.10.3,263 - Authentication.CustomUser 'Обычный пользователь',1428922442,SQL@1477473253]]
19 окт. 2025 14:51:57,693 admin - dilpkn - 172.20.10.3  INFO RemoteLogger - executeEventAction started: [ID: 1046, SID: _NEW_Main_items_i()]
19 окт. 2025 14:51:57,694 admin - dilpkn - 172.20.10.3  INFO RemoteLogger - executeEventAction ended: [ID: 1046, SID: _NEW_Main_items_i()]
19 окт. 2025 14:51:59,084 admin - dilpkn - 172.20.10.3  INFO RemoteLogger - getAsyncValues started: Thread[RMI:Main.items, TID - (86),5,RMI Runtime], indices : (-1,0,1), value : 
19 окт. 2025 14:51:59,097 admin - dilpkn - 172.20.10.3  INFO RemoteLogger - getAsyncValues ended: Thread[RMI:Main.items, TID - (86),5,RMI Runtime], indices : (-1,0,1)
19 окт. 2025 14:52:06,401 admin - dilpkn - 172.20.10.3  INFO RemoteLogger - executeEventAction started: [ID: 1030, SID: name(i)]
19 окт. 2025 14:52:06,404 admin - dilpkn - 172.20.10.3  INFO RemoteLogger - executeEventAction ended: [ID: 1030, SID: name(i)]
19 окт. 2025 14:52:06,407 admin - dilpkn - 172.20.10.3  INFO RemoteLogger - getAsyncValues started: Thread[RMI:Main.items, TID - (83),5,RMI Runtime], indices : (-1,0,2), value : 
19 окт. 2025 14:52:06,413 admin - dilpkn - 172.20.10.3  INFO RemoteLogger - getAsyncValues ended: Thread[RMI:Main.items, TID - (83),5,RMI Runtime], indices : (-1,0,2)
19 окт. 2025 14:52:08,850 admin - dilpkn - 172.20.10.3  INFO RemoteLogger - executeEventAction started: [ID: 1036, SID: barcode(i)]
19 окт. 2025 14:52:08,854 admin - dilpkn - 172.20.10.3  INFO RemoteLogger - executeEventAction ended: [ID: 1036, SID: barcode(i)]
19 окт. 2025 14:52:12,208 admin - dilpkn - 172.20.10.3  INFO RemoteLogger - executeEventAction started: [ID: 1041, SID: salePrise(i)]
19 окт. 2025 14:52:12,225 admin - dilpkn - 172.20.10.3  INFO RemoteLogger - executeEventAction ended: [ID: 1041, SID: salePrise(i)]
19 окт. 2025 14:52:14,093 admin - dilpkn - 172.20.10.3  INFO RemoteLogger - executeEventAction started: [ID: 1046, SID: _NEW_Main_items_i()]
19 окт. 2025 14:52:14,099 admin - dilpkn - 172.20.10.3  INFO RemoteLogger - executeEventAction ended: [ID: 1046, SID: _NEW_Main_items_i()]
19 окт. 2025 14:52:15,164 admin - dilpkn - 172.20.10.3  INFO RemoteLogger - getAsyncValues started: Thread[RMI:Main.items, TID - (83),5,RMI Runtime], indices : (-1,0,3), value : 
19 окт. 2025 14:52:15,165 admin - dilpkn - 172.20.10.3  INFO RemoteLogger - getAsyncValues ended: Thread[RMI:Main.items, TID - (83),5,RMI Runtime], indices : (-1,0,3)
19 окт. 2025 14:52:17,986 admin - dilpkn - 172.20.10.3  INFO RemoteLogger - executeEventAction started: [ID: 1030, SID: name(i)]
19 окт. 2025 14:52:17,992 admin - dilpkn - 172.20.10.3  INFO RemoteLogger - executeEventAction ended: [ID: 1030, SID: name(i)]
19 окт. 2025 14:52:19,139 admin - dilpkn - 172.20.10.3  INFO RemoteLogger - getAsyncValues started: Thread[RMI:Main.items, TID - (83),5,RMI Runtime], indices : (-1,0,4), value : 2
19 окт. 2025 14:52:19,149 admin - dilpkn - 172.20.10.3  INFO RemoteLogger - getAsyncValues ended: Thread[RMI:Main.items, TID - (83),5,RMI Runtime], indices : (-1,0,4)
19 окт. 2025 14:52:20,704 admin - dilpkn - 172.20.10.3  INFO RemoteLogger - executeEventAction started: [ID: 1036, SID: barcode(i)]
19 окт. 2025 14:52:20,712 admin - dilpkn - 172.20.10.3  INFO RemoteLogger - executeEventAction ended: [ID: 1036, SID: barcode(i)]
19 окт. 2025 14:52:24,747 admin - dilpkn - 172.20.10.3  INFO RemoteLogger - executeEventAction started: [ID: 1041, SID: salePrise(i)]
19 окт. 2025 14:52:24,775 admin - dilpkn - 172.20.10.3  INFO RemoteLogger - executeEventAction ended: [ID: 1041, SID: salePrise(i)]
19 окт. 2025 14:52:24,776 admin - dilpkn - 172.20.10.3  INFO RemoteLogger - executeEventAction started: [ID: 1046, SID: _NEW_Main_items_i()]
19 окт. 2025 14:52:24,805 admin - dilpkn - 172.20.10.3  INFO RemoteLogger - executeEventAction ended: [ID: 1046, SID: _NEW_Main_items_i()]
19 окт. 2025 14:52:29,085 admin - dilpkn - 172.20.10.3  INFO RemoteLogger - executeEventAction started: [ID: 1011, SID: formApply()]
19 окт. 2025 14:52:29,194 admin - dilpkn - 172.20.10.3  INFO RemoteLogger - executeEventAction ended: [ID: 1011, SID: formApply()]
19 окт. 2025 14:52:31,591 admin - dilpkn - 172.20.10.3  INFO RemoteLogger - FORM OPEN : FORM[1039146409 - Main.legalEntites,RN[clientAddress: 172.20.10.3,263 - Authentication.CustomUser 'Обычный пользователь',1428922442,SQL@1477473253]]
19 окт. 2025 14:54:16,450 admin - dilpkn - 172.20.10.3  INFO RemoteLogger - executeEventAction started: [ID: 1385, SID: _NEW_Main_legalEntites_le()]
19 окт. 2025 14:54:16,454 admin - dilpkn - 172.20.10.3  INFO RemoteLogger - executeEventAction ended: [ID: 1385, SID: _NEW_Main_legalEntites_le()]
