19 окт. 2025 14:33:16,019 system - system - system  INFO ExInfoLogger - SQL SESSION CLOSE SQL@1544516569
19 окт. 2025 14:33:16,019 system - system - system  INFO ExInfoLogger - SQL SESSION CLOSE SQL@679811345
19 окт. 2025 14:33:16,046 system - system - system  INFO ExInfoLogger - SQL SESSION CLOSE SQL@761863997
19 окт. 2025 14:33:28,636 admin - dilpkn - 172.20.10.3  INFO ExInfoLogger - SQL SESSION OPEN SQL@439042375
19 окт. 2025 14:33:44,269 system - system - system  INFO ExInfoLogger - SQL SESSION OPEN SQL@876914310
19 окт. 2025 14:33:45,717 system - system - system  INFO ExInfoLogger - SQL SESSION OPEN SQL@761863997
19 окт. 2025 14:33:45,717 system - system - system  INFO ExInfoLogger - SQL SESSION CLOSE SQL@876914310
19 окт. 2025 14:33:47,598 system - system - system  INFO ExInfoLogger - SQL SESSION OPEN SQL@1487884406
19 окт. 2025 14:33:48,109 system - system - system  INFO ExInfoLogger - SQL SESSION OPEN SQL@1953057780
19 окт. 2025 14:33:48,110 system - system - system  INFO ExInfoLogger - SQL SESSION OPEN SQL@1735040348
19 окт. 2025 14:33:48,637 system - system - system  INFO ExInfoLogger - SQL SESSION OPEN SQL@1342293260
19 окт. 2025 14:33:48,734 system - system - system  INFO ExInfoLogger - SQL SESSION OPEN SQL@551927526
19 окт. 2025 14:33:48,734 system - system - system  INFO ExInfoLogger - SQL SESSION OPEN SQL@634356563
19 окт. 2025 14:33:48,734 system - system - system  INFO ExInfoLogger - SQL SESSION OPEN SQL@1107040756
19 окт. 2025 14:33:48,734 system - system - system  INFO ExInfoLogger - SQL SESSION OPEN SQL@1239460360
19 окт. 2025 14:33:48,734 system - system - system  INFO ExInfoLogger - SQL SESSION OPEN SQL@1106590527
19 окт. 2025 14:33:52,223 system - system - system  INFO ExInfoLogger - SQL SESSION OPEN SQL@1477473253
19 окт. 2025 14:33:53,109 system - system - system  INFO ExInfoLogger - SQL SESSION OPEN SQL@727006320
19 окт. 2025 14:33:53,260 system - system - system  INFO ExInfoLogger - SQL SESSION CLOSE SQL@727006320
19 окт. 2025 14:33:54,078 admin - dilpkn - 172.20.10.3  INFO ExInfoLogger - SQL SESSION OPEN SQL@438829062
19 окт. 2025 14:33:56,902 admin - dilpkn - 172.20.10.3  INFO ExInfoLogger - SQL SESSION CLOSE SQL@438829062
19 окт. 2025 14:33:57,979 admin - dilpkn - 172.20.10.3  INFO ExInfoLogger - SQL SESSION OPEN SQL@902119396
19 окт. 2025 14:33:58,027 admin - dilpkn - 172.20.10.3  INFO ExInfoLogger - SQL SESSION CLOSE SQL@902119396
19 окт. 2025 14:33:58,030 admin - dilpkn - 172.20.10.3  INFO ExInfoLogger - SQL SESSION OPEN SQL@317661455
19 окт. 2025 14:33:58,052 admin - dilpkn - 172.20.10.3  INFO ExInfoLogger - SQL SESSION CLOSE SQL@317661455
19 окт. 2025 14:33:58,054 admin - dilpkn - 172.20.10.3  INFO ExInfoLogger - SQL SESSION OPEN SQL@54205032
19 окт. 2025 14:33:58,073 admin - dilpkn - 172.20.10.3  INFO ExInfoLogger - SQL SESSION CLOSE SQL@54205032
19 окт. 2025 14:34:00,519 system - system - system  INFO ExInfoLogger - SQL SESSION OPEN SQL@1762409111
19 окт. 2025 14:34:00,519 system - system - system  INFO ExInfoLogger - SQL SESSION OPEN SQL@802371300
19 окт. 2025 14:34:00,727 system - system - system  INFO ExInfoLogger - SQL SESSION CLOSE SQL@1342293260
19 окт. 2025 14:34:00,727 system - system - system  INFO ExInfoLogger - SQL SESSION CLOSE SQL@1735040348
19 окт. 2025 14:34:00,727 system - system - system  INFO ExInfoLogger - SQL SESSION CLOSE SQL@1107040756
19 окт. 2025 14:34:00,727 system - system - system  INFO ExInfoLogger - SQL SESSION CLOSE SQL@1953057780
19 окт. 2025 14:34:00,727 system - system - system  INFO ExInfoLogger - SQL SESSION CLOSE SQL@1106590527
19 окт. 2025 14:34:00,727 system - system - system  INFO ExInfoLogger - SQL SESSION CLOSE SQL@1239460360
19 окт. 2025 14:34:00,727 system - system - system  INFO ExInfoLogger - SQL SESSION CLOSE SQL@551927526
19 окт. 2025 14:34:00,727 system - system - system  INFO ExInfoLogger - SQL SESSION CLOSE SQL@634356563
19 окт. 2025 14:34:00,764 system - system - system  INFO ExInfoLogger - SQL SESSION OPEN SQL@336764958
19 окт. 2025 14:34:00,770 system - system - system  INFO ExInfoLogger - SQL SESSION OPEN SQL@713837735
19 окт. 2025 14:34:03,636 system - system - system  INFO ExInfoLogger - SQL SESSION OPEN SQL@82668220
19 окт. 2025 14:34:03,663 system - system - system  INFO ExInfoLogger - SQL SESSION CLOSE SQL@82668220
19 окт. 2025 14:34:03,663 system - system - system  INFO ExInfoLogger - SQL SESSION CLOSE SQL@713837735
19 окт. 2025 14:34:03,663 system - system - system  INFO ExInfoLogger - SQL SESSION CLOSE SQL@336764958
19 окт. 2025 14:34:03,681 system - system - system  INFO ExInfoLogger - SQL SESSION CLOSE SQL@761863997
19 окт. 2025 14:35:30,547 system - system - system  INFO ExInfoLogger - SQL SESSION OPEN SQL@970227915
19 окт. 2025 14:36:00,565 system - system - system  INFO ExInfoLogger - SQL SESSION OPEN SQL@1007389599
19 окт. 2025 14:50:12,056 admin - dilpkn - 172.20.10.3  INFO ExInfoLogger - SQL SESSION OPEN SQL@1675395407
19 окт. 2025 14:50:17,890 admin - dilpkn - 172.20.10.3  INFO ExInfoLogger - SQL SESSION OPEN SQL@631330764
19 окт. 2025 14:50:17,912 admin - dilpkn - 172.20.10.3  INFO ExInfoLogger - SQL SESSION CLOSE SQL@631330764
19 окт. 2025 14:50:24,219 admin - dilpkn - 172.20.10.3  INFO ExInfoLogger - SQL SESSION OPEN SQL@1204470945
19 окт. 2025 14:50:24,236 admin - dilpkn - 172.20.10.3  INFO ExInfoLogger - SQL SESSION CLOSE SQL@1204470945
19 окт. 2025 14:50:31,289 admin - dilpkn - 172.20.10.3  INFO ExInfoLogger - SQL SESSION OPEN SQL@1677165789
19 окт. 2025 14:50:31,296 admin - dilpkn - 172.20.10.3  INFO ExInfoLogger - SQL SESSION CLOSE SQL@1677165789
19 окт. 2025 14:51:12,768 system - system - system  INFO ExInfoLogger - SQL SESSION CLOSE SQL@1675395407
19 окт. 2025 14:51:59,085 admin - dilpkn - 172.20.10.3  INFO ExInfoLogger - SQL SESSION OPEN SQL@1009665224
19 окт. 2025 14:51:59,097 admin - dilpkn - 172.20.10.3  INFO ExInfoLogger - SQL SESSION CLOSE SQL@1009665224
19 окт. 2025 14:52:06,408 admin - dilpkn - 172.20.10.3  INFO ExInfoLogger - SQL SESSION OPEN SQL@1137708769
19 окт. 2025 14:52:06,413 admin - dilpkn - 172.20.10.3  INFO ExInfoLogger - SQL SESSION CLOSE SQL@1137708769
19 окт. 2025 14:52:19,139 admin - dilpkn - 172.20.10.3  INFO ExInfoLogger - SQL SESSION OPEN SQL@636674364
19 окт. 2025 14:52:19,149 admin - dilpkn - 172.20.10.3  INFO ExInfoLogger - SQL SESSION CLOSE SQL@636674364
19 окт. 2025 14:54:17,480 admin - dilpkn - 172.20.10.3  INFO ExInfoLogger - SQL SESSION OPEN SQL@1818130408
19 окт. 2025 14:54:17,488 admin - dilpkn - 172.20.10.3  INFO ExInfoLogger - SQL SESSION CLOSE SQL@1818130408
19 окт. 2025 14:54:22,551 admin - dilpkn - 172.20.10.3  INFO ExInfoLogger - SQL SESSION OPEN SQL@1632490533
19 окт. 2025 14:54:22,558 admin - dilpkn - 172.20.10.3  INFO ExInfoLogger - SQL SESSION CLOSE SQL@1632490533
19 окт. 2025 14:54:26,682 admin - dilpkn - 172.20.10.3  INFO ExInfoLogger - SQL SESSION OPEN SQL@738152173
